breakpoints,primitives,points
0,movej_fit,"[array([ 0.44451763, -0.14444063,  0.85331124,  0.84146876, -0.59086277,
       -0.62607248])]"
2501,movel_fit,"[array([ 1.70010000e+03, -1.73205081e-01,  1.00000000e+03])]"
5001,movel_fit,"[array([1950.        , -433.01270189, 1000.        ])]"
