breakpoints,primitives,points
0,movej_fit,"[array([ 0.3120923 ,  0.27688859,  0.40240991,  0.6676647 , -0.49953974,
       -0.52210179])]"
481,movel_fit,"[array([2200.,  404., 1000.])]"
961,movel_fit,"[array([2200.,  308., 1000.])]"
1441,movel_fit,"[array([2200.,  212., 1000.])]"
1921,movel_fit,"[array([2200.,  116., 1000.])]"
2402,movel_fit,"[array([2200.05049505,   19.81353011, 1000.        ])]"
2601,movec_fit,"[array([2.20510000e+03, 1.16654088e+00, 1.00000000e+03]), array([2210.14950495,  -17.48044834, 1000.        ])]"
3081,movel_fit,"[array([2258.        , -100.45894684, 1000.        ])]"
3561,movel_fit,"[array([2306.       , -183.5973856, 1000.       ])]"
4041,movel_fit,"[array([2354.        , -266.73582437, 1000.        ])]"
4521,movel_fit,"[array([2402.        , -349.87426313, 1000.        ])]"
5001,movel_fit,"[array([2450.        , -433.01270189, 1000.        ])]"
