x,y,z,R1,R2,R3,R4,R5,R6,R7,R8,R9
2376.26152,1089.256029,746.5836202,0.02758113,0.238837265,0.970667833,0.877135149,-0.471524351,0.091097289,0.479450947,0.848894309,-0.222497734
2376.260633,1089.225148,746.5668131,0.027609881,0.238830806,0.970668605,0.877160116,-0.471485527,0.091057836,0.479403615,0.84891769,-0.222510517
2376.259745,1089.194266,746.5500076,0.027638633,0.238824349,0.970669375,0.877185079,-0.471446701,0.091018381,0.47935628,0.848941069,-0.222523298
2376.258856,1089.163384,746.5332037,0.027667385,0.238817893,0.970670145,0.877210038,-0.471407874,0.090978927,0.479308945,0.848964446,-0.222536076
2376.257966,1089.1325,746.5164015,0.027696137,0.238811439,0.970670913,0.877234995,-0.471369045,0.090939471,0.479261607,0.848987821,-0.222548853
2376.257075,1089.101616,746.499601,0.02772489,0.238804985,0.97067168,0.877259948,-0.471330215,0.090900015,0.479214268,0.849011194,-0.222561627
2376.256183,1089.07073,746.4828021,0.027753643,0.238798533,0.970672445,0.877284897,-0.471291384,0.090860558,0.479166928,0.849034565,-0.2225744
2376.255289,1089.039844,746.4660048,0.027782396,0.238792083,0.97067321,0.877309843,-0.471252551,0.0908211,0.479119585,0.849057934,-0.22258717
2376.254395,1089.008957,746.4492092,0.02781115,0.238785633,0.970673973,0.877334786,-0.471213716,0.090781642,0.479072242,0.8490813,-0.222599938
2376.253499,1088.978069,746.4324152,0.027839904,0.238779185,0.970674735,0.877359726,-0.471174881,0.090742182,0.479024897,0.849104665,-0.222612704
2376.252603,1088.947181,746.4156229,0.027868658,0.238772738,0.970675495,0.877384662,-0.471136043,0.090702723,0.47897755,0.849128028,-0.222625468
2376.251705,1088.916291,746.3988322,0.027897413,0.238766293,0.970676255,0.877409595,-0.471097205,0.090663262,0.478930201,0.849151389,-0.222638229
2376.250806,1088.8854,746.3820432,0.027926168,0.238759849,0.970677013,0.877434524,-0.471058365,0.090623801,0.478882851,0.849174748,-0.222650989
2376.249906,1088.854509,746.3652558,0.027954923,0.238753406,0.97067777,0.87745945,-0.471019523,0.090584339,0.4788355,0.849198104,-0.222663747
2376.249005,1088.823617,746.3484701,0.027983679,0.238746964,0.970678526,0.877484373,-0.47098068,0.090544876,0.478788147,0.849221459,-0.222676502
2376.248103,1088.792724,746.331686,0.028012434,0.238740524,0.970679281,0.877509292,-0.470941836,0.090505413,0.478740792,0.849244811,-0.222689255
2376.2472,1088.76183,746.3149035,0.028041191,0.238734085,0.970680034,0.877534208,-0.47090299,0.090465949,0.478693436,0.849268162,-0.222702007
